Especificación,n,Coef. Female,SE analítico,SE bootstrap,R²,IC 95% bootstrap
No condicional,14637,-0.21967475226491645,0.013790146655863141,0.013911639423353403,0.016976539999284834,"(-0.247, -0.193)"
Condicional 1 (edad+educ),14637,-0.29767606851598605,0.011920738070962174,0.01213186828913651,0.27241693085988794,"(-0.321, -0.275)"
Condicional segura,14637,-0.19896113121261635,0.010447568605403867,0.010528630082620836,0.48189437907542654,"(-0.22, -0.179)"
Condicional extra,14637,-0.16600799301191255,0.010481359425235587,0.010508477143352136,0.5545053330128227,"(-0.187, -0.147)"
