especificacion,edad_pico,se_bootstrap,ic_inferior,ic_superior,r2
Incondicional OLS,40.341862158905556,0.27908364274806324,39.78503689300439,40.90874028081143,0.053963077135326325
Condicional OLS,43.10848596449187,0.3741912394816776,42.356984064979045,43.861668938807114,0.22804293726884015
Incondicional WLS,40.4751196224902,0.27865421489676356,39.94033351766897,41.032308308858305,0.055409578854020994
Condicional WLS,43.185318392566415,0.36786668937081785,42.461053021907425,43.890903113991754,0.22801830839770776
