modelo,n_parametros,rmse_entrenamiento,rmse_validacion,error_pct_aprox,AIC,BIC
B1. Sec1 Incondicional,3,0.8106494302248838,0.8316502360901008,129.71063820074548,24611.535558351174,24640.44631439242
B2. Sec1 Condicional,9,0.7302555897176466,0.7559310873902625,112.95934381408235,22498.159247238258,22570.436137341367
B3. Sec2 Incondicional,2,0.8264976918014615,0.847287489936958,133.33091357415637,25003.540707379576,25025.223774410508
B4. Sec2 Preferida,20,0.5981692674126039,0.6192171580566785,85.74733644710906,18459.91043828463,18611.691907501157
M1. Complejidad moderada,65,0.5100949505884365,0.5292211767339372,69.76096557324094,15308.625853810527,15785.653328491038
M2. Interacciones Género,80,0.5031409158479595,0.5237636853997899,68.83702008025696,15059.289455128313,15644.732264963488
M3. Polinomios Flexibles,101,0.49864525439043805,0.5217043241635598,68.48968143648683,14918.641046645265,15655.865325696966
M4. Interacciones Avanzadas,74,0.5178358127319173,0.5381997594539345,71.29204160605181,15633.124166847465,16175.200842620774
M5. Alta Dimensión,105,0.515233011423252,0.5370132900041901,71.08892934877285,15592.58091422375,16358.715949316695
