metodo,coeficiente,se_analitico,se_bootstrap,ic_95_inf,ic_95_sup
Regresión completa,-0.19896113121261635,0.010447568605403867,0.010528630082620836,-0.22006299548586417,-0.17939215685154805
FWL (residualizado),-0.1989611312126462,0.010447568605405166,0.010528630082619748,-0.2200629954858609,-0.17939215685149132
