variable,delta_rmse
totalHoursWorked,0.10321825811375276
oficio_fac,0.07757770708569339
estrato_fac,0.06591179411578166
sizeFirm_fac,0.060329292234501154
formal_fac,0.03150917470925738
educ_fac,0.029812793960344863
age,0.01947989482371859
relab_fac,0.01626890515877142
tiempotrabajo,0.012198706971021035
Female,0.011991444637996373
jefe_hogar,0.0043082262167489
n_ninos_under10,8.655727423043658e-5
total_personas,7.110370055050109e-5
